LABORATÓRIO 407,,
Nome,MAC,IP
ALPHA01,D8:9D:67:00:63:BA,192.168.27.11
ALPHA02,38:EA:A7:19:DA:AB,192.168.27.12
ALPHA03,A4:5D:36:C2:9F:CB,192.168.27.13
ALPHA04,D8:9D:67:00:6C:E2,192.168.27.14
ALPHA05,D8:9D:67:12:A0:90,192.168.27.15
ALPHA06,10:60:4B:6D:FB:78,192.168.27.16
ALPHA07,D8:9D:67:00:63:D5,192.168.27.17
ALPHA08,D8:9D:67:12:5C:0B,192.168.27.18
ALPHA09,A4:5D:36:C2:AF:B7,192.168.27.19
ALPHA10,D8:9D:67:12:68:82,192.168.27.20
ALPHA11,38:EA:A7:19:B7:39,192.168.27.21
ALPHA12,D8:9D:67:00:5B:1C,192.168.27.22
ALPHA13,D8:9D:67:00:64:F7,192.168.27.23
ALPHA14,D8:9D:67:12:A0:76,192.168.27.24
ALPHA15,A4:5D:36:C2:9F:1C,192.168.27.25
ALPHA16,2C:59:E5:BE:47:35,192.168.27.26
ALPHA17,00:1C:C0:C3:F1:D1,192.168.27.27
ALPHA18,00:1C:C0:C4:05:3E,192.168.27.28
ALPHA19,00:1C:C0:C3:F1:D0,192.168.27.29
ALPHA20,00:1C:C0:C4:05:38,192.168.27.30
ALPHA21,00:1C:C0:C3:F1:7F,192.168.27.31
ALPHA22,00:1C:C0:C3:F8:DB,192.168.27.32
ALPHA23,00:1C:C0:C3:F1:D5,192.168.27.33
ALPHA24,00:1C:C0:C3:F8:FD,192.168.27.34
ALPHA25,00:1C:C0:C4:05:3F,192.168.27.35
ALPHA26,00:1C:C0:C3:F1:97,192.168.27.36
ALPHA27,00:1C:C0:C3:F1:70,192.168.27.37
