Nome,MAC,IP
BETA01,D0:94:66:D5:AF:40,192.168.24.11
BETA02,D0:94:66:D5:D0:EB,192.168.24.12
BETA03,D0:94:66:D5:D8:86,192.168.24.13
BETA04,D0:94:66:D5:D8:66,192.168.24.14
BETA05,D0:94:66:D4:90:94,192.168.24.15
BETA06,D0:94:66:D5:DA:7E,192.168.24.16
BETA07,D0:94:66:D5:CD:CC,192.168.24.17
BETA08,D0:94:66:D5:DA:B1,192.168.24.18
BETA09,D0:94:66:D5:DA:01,192.168.24.19
BETA10,D0:94:66:D5:DA:AB,192.168.24.20
BETA11,D0:94:66:D5:D0:CD,192.168.24.21
BETA12,D0:94:66:D5:D0:C9,192.168.24.22
BETA13,D0:94:66:D5:B9:4E,192.168.24.23
BETA14,D0:94:66:D5:B1:70,192.168.24.24
BETA15,D0:94:66:D5:AF:6A,192.168.24.25
BETA16,D0:94:66:D5:D7:DE,192.168.24.26
BETA17,D0:94:66:D5:D8:63,192.168.24.27
BETA18,D0:94:66:D5:D8:64,192.168.24.28
BETA19,D0:94:66:D5:D8:57,192.168.24.29
BETA20,D0:94:66:D5:D7:D0,192.168.24.30
BETA21,D0:94:66:D5:D8:7D,192.168.24.31
BETA22,D0:94:66:D4:96:BD,192.168.24.32
BETA23,D0:94:66:D5:D7:CA,192.168.24.33
BETA24,D0:94:66:D5:D7:C8,192.168.24.34
BETA25,D0:94:66:D5:D7:B0,192.168.24.35
BETA26,D0:94:66:D5:B9:4A,192.168.24.36
BETA27,D0:94:66:D5:D7:A7,192.168.24.37
BETA28,D0:94:66:D5:D8:61,192.168.24.38
BETA29,D0:94:66:D5:D0:E2,192.168.24.39
BETA30,D0:94:66:D5:DA:9E,192.168.24.40
